full_jibun_addr,station,distance_km
부산광역시 서대신동2가 79,서대신,0.37540384169855884
부산광역시 서대신동2가 33-1,동대신,0.21682344383148253
부산광역시 서대신동2가 33-1,서대신,0.38205722534166053
부산광역시 동대신동1가 130-4,동대신,0.10248117630624315
부산광역시 서대신동1가 68,동대신,0.21077210621926265
부산광역시 서대신동3가 249-20,서대신,0.47454808769864015
부산광역시 서대신동3가 249-3,서대신,0.46075687050892
부산광역시 충무동2가 24-4,자갈치,0.46742537757256414
부산광역시 서대신동1가 38-1,동대신,0.21942645984117073
부산광역시 서대신동3가 384-2,동대신,0.37430839096618446
부산광역시 서대신동3가 384-2,서대신,0.39467459756467566
부산광역시 충무동2가 33-6,자갈치,0.48612902914496353
부산광역시 서대신동1가 90-1,동대신,0.2610459663511149
부산광역시 서대신동1가 87-1,동대신,0.2736002921382978
부산광역시 서대신동3가 360-3,동대신,0.381330692647396
부산광역시 서대신동3가 360-3,서대신,0.36291255281444107
부산광역시 토성동5가 29-7,자갈치,0.48644242691893036
부산광역시 토성동5가 29-7,토성,0.4036649210190311
부산광역시 서대신동3가 294-5,동대신,0.4422309741020517
부산광역시 서대신동3가 294-5,서대신,0.39756466818100333
부산광역시 서대신동2가 83-1,동대신,0.10480722531735875
부산광역시 서대신동2가 83-1,서대신,0.41339322546414375
부산광역시 서대신동3가 294-11,동대신,0.4173118592790133
부산광역시 서대신동3가 294-11,서대신,0.34258061833153836
부산광역시 부용동1가 12-6,동대신,0.4699542006309651
부산광역시 서대신동2가 391-1,서대신,0.16110331011375442
부산광역시 서대신동3가 384-5,동대신,0.37274709937213435
부산광역시 서대신동3가 384-5,서대신,0.40645847734926915
부산광역시 서대신동3가 544-2,서대신,0.48612865173460584
부산광역시 서대신동3가 438,동대신,0.37497312796555726
부산광역시 서대신동3가 438,서대신,0.19595157242792885
부산광역시 토성동5가 11-12,자갈치,0.41216069589649107
부산광역시 토성동5가 11-12,토성,0.3362478653505593
부산광역시 서대신동1가 33-3,동대신,0.294060896500204
부산광역시 서대신동1가 54-14,동대신,0.13225113802413152
부산광역시 동대신동2가 182-1,동대신,0.4500023513822349
부산광역시 서대신동3가 409,동대신,0.29950101116396477
부산광역시 서대신동3가 409,서대신,0.33306431337641446
부산광역시 아미동2가 126-5,토성,0.37416828758423615
부산광역시 서대신동2가 394-15,서대신,0.14966252632315083
부산광역시 부민동1가 26-1,토성,0.24303844283322942
부산광역시 서대신동1가 143,동대신,0.2848782692885822
부산광역시 서대신동1가 143,서대신,0.3539155026503435
부산광역시 서대신동2가 47,동대신,0.16643814497779452
부산광역시 서대신동2가 47,서대신,0.3536457655554594
부산광역시 서대신동2가 163,동대신,0.2654496679245218
부산광역시 서대신동2가 163,서대신,0.2581207079585087
부산광역시 동대신동3가 350-6,동대신,0.3433683086812849
부산광역시 서대신동3가 293-6,동대신,0.40654229859160207
부산광역시 서대신동3가 293-6,서대신,0.3832144269682956
부산광역시 토성동5가 19-1,자갈치,0.4282494292641328
부산광역시 토성동5가 19-1,토성,0.36388211547505467
부산광역시 서대신동1가 122-1,동대신,0.22534499147432951
부산광역시 서대신동1가 122-1,서대신,0.4355525217571066
부산광역시 토성동5가 22-2,자갈치,0.47908788306159006
부산광역시 토성동5가 22-2,토성,0.334040503788135
부산광역시 서대신동1가 122-6,동대신,0.23062748997189622
부산광역시 서대신동1가 122-6,서대신,0.4220161984745609
